,sample001,sample002,sample003,sample004,sample005,sample006,sample007,sample008,sample009,sample010,sample011,sample012,sample013,sample014,sample015,sample016,sample017,sample018,sample019,sample020,sample021,sample022,sample023,sample024,sample026,sample027,sample028,sample029,sample030,sample031,sample032,sample033,sample034,sample035,sample036,sample037,sample038,sample039,sample040,sample041,sample042,sample043,sample044,sample045,sample046,sample047,sample048,sample049,sample050,sample051,sample052,sample053,sample054,sample055,sample056,sample057,sample058,sample059,sample060,sample061,sample062,sample063,sample064,sample065,sample066,sample067,sample069,sample070,sample071,sample072,sample073,sample074,sample075,sample076,sample077,sample078,sample079,sample080,sample081,sample082,sample083,sample084,sample085,sample086,sample087,sample088,sample089,sample090,sample091,sample092,sample093,sample094,sample095,sample096,sample097,sample098,sample099,sample100,sample101,sample102,sample103,sample104,sample105,sample106,sample107,sample108,sample109,sample110,sample111,sample112,sample113,sample114,sample115,sample116,sample117,sample118,sample119,sample120,sample121,sample122,sample123,sample124,sample125,sample126,sample127,sample128,sample129,sample130,sample131,sample132
KCNJ2,359.27,250.43,288.03,449.67,190.96,295.54,364.04,56.64,62.3,297.6,339.6,176.14,187.31,103.91,87.66,122.58,101.21,218.44,257.9,200.42,156.86,37.57,37.89,94.92,595.57,271.84,152.62,264.21,170.25,347.47,407.73,329.57,256.74,353.08,158.18,96.19,149.5,361.93,231.06,163.9,72.02,38.65,565.03,479.96,255.72,143.99,79.41,69.95,214.1,324.19,316.11,53.75,169.71,208.15,85.65,324.52,404.03,168.36,89.93,70.71,90.27,155.91,233.93,251.35,51.88,65.28,133.67,82.52,88.48,98.13,135.36,246.67,195.78,125.37,115.36,20,56.29,105.51,232.95,34.6,57.54,59.91,50.93,89.03,70.08,91.82,235.42,407.82,144.16,55.15,55.97,104.49,362.68,61.34,107.13,114.86,100.68,385.45,98.67,75.44,45.95,69.18,144.9,150.8,113.58,42.28,64.53,81.51,51.36,301.58,131.59,120.05,96.45,59.2,65.22,167.76,267.93,51.97,139.29,91.59,199.48,196.43,208.55,145.63,41.19,36.62,61.53,227.17,198.76,108.88
KEAP1,20,20,20,20,21.44,20,20,20,20,20,40.26,20,20,20,20,38.62,20,20,20,20,20,20,20,24.66,20,41.53,20,20,33.51,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,22.13,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20.05,29.4,26.46,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,31.77,20,20,20,20,20,20,20,20,20,20,20,20,20,20,26.28,20,20,20,20,20.91,20,20,20,20,20,20,20,20,20,20,20,20,29.84,20,20,20,20,20,25.58
KIR2DL4,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,28.15,20,20,20,20,20,20,21.14,20,20,20,20,20,20,20,20,20,20,20,20.89,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
KIR3DL1,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
KIR3DL2,23.33,28.9,20,20,20,24.24,20,20,20,20.13,20,20,20,37.5,20,20,29.3,20,20,20,20,20,20,32.05,20,20,20,20,20,20,20,20,21.55,20,20,24.31,20,20,20,20,20,20,20,20,20,20,20,20,20,22.21,35.5,20,20,20,22.43,20,20,20,20,20,22.57,20,20,20,20,20,25.29,22.95,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,25.52,20,20,20,45.54,24.72,20,20,20.73,30.43,28.09,53.89,20,20,20,33.1,27.44,45.7,20,20,20,38.56,27.01,25.22,20,20,20,20,20,29.32,20,20,20,20,49.65,40.59,20,20,20,20,20,20
KIR3DL3,26.83,59.17,25.72,38.86,20,20,20,27.16,20,20,45.51,20,20,20,36.76,20,20,28.8,20,20,20,20,20,24.66,20,37.76,20,20,29.49,30.48,20,45.12,20,20,20,32.77,20,20,23.94,20,20,20.17,36.34,20,20,20,20,24.53,22.15,20,35.5,29.51,20,20,31.61,30.57,26.35,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,32.53,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20.96,21.19
KIR3DS1,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,25.89,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,23.62,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,22.76,20,20,20,20,20,20,20,20,20,20.17,33.41,20,20,20,34.33,24.39,38.85,20,20,20,20,20,20,20,20,20,20,20,35.98,20,20,20,20,41.14,26.26,20,20,20,20,20,20
KIT,23.33,20,20,20,20,20,20,23.28,20,20,20,20,20,20,20,20,27.97,20,20,20,20,22.64,32.76,27.12,20,20,20,20,20,20,20,39.23,20,20,20,30.65,20,20,20,20,20,20.17,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,31.25,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
KLRB1,180.8,129.34,95.15,120.28,97.01,64.65,41.14,135,70.79,41.14,70.02,88.07,33.91,56.77,128.67,177.99,105.2,38.41,55.52,36.77,45.41,125.22,114.85,149.17,38.74,86.84,56.93,37.74,140.76,59.44,63.13,56.89,74.02,48.46,36.44,128.95,66.33,48.26,47.89,26.76,34.77,60.5,20,36,89.85,56.4,34.65,139.9,56.95,31.09,101.43,99.07,43.37,40.63,67.3,41.15,37.64,60.98,31.47,28.53,90.83,55.92,46.08,83.78,97.14,61.29,90.32,112.52,20,20,20,20,20,26.86,35.68,81.8,39.95,39.04,49.2,40.71,38.57,54.84,68.27,53.88,47.23,32.72,49.11,48.25,54.49,68.13,37.82,68.71,61.8,50.35,20,20,20,20,39.61,35.57,79.81,70.97,31.5,68.66,64.79,68.56,56.6,36.42,55.83,72.98,70.59,60.85,47.7,43.79,35.92,46.05,32.39,89.28,50,20,20,44.35,68.1,146.83,20,20,20,20,31.06,20
KLRC1,33.83,56.42,29.57,20,42.89,20,20,44.22,31.15,31.51,56.02,45.95,33.91,42.67,36.76,36.94,39.95,30.01,20,33.1,20,20,29.2,54.24,20,58.52,33.92,28.63,30.83,30.48,26.31,52.97,43.1,20,20,35.94,28.43,29.92,23.94,32.33,20,20,20,21.82,20,61.2,30.32,32.7,29.53,20,45.64,49.54,20,20,32.63,34.1,38.9,41.1,34.85,65.74,44.01,33.89,23.92,67.03,77.27,54.63,33.12,52.95,27.04,21.9,32.08,31.95,87.84,51.94,45.19,20,38.13,52.75,42.17,138.91,29.72,54.84,39.01,41,56.37,32.72,49.11,41.36,241.41,43.8,20,57.26,108.97,144.65,20,20,35.54,30.43,173.57,114.24,33.86,36.83,31.5,44.14,73.18,142.83,36.22,26.88,20,60.59,248.36,258.74,39.41,25.14,25.52,20,63.3,191.9,46.43,20,20.21,31.68,92.21,225.61,64.73,45.77,41.44,58.83,229.04,253.57
KLRC2,43.16,50.91,32.15,20,24.51,24.24,20,49.66,30.2,20,45.51,20,20,22.36,63.63,67.17,41.28,20,20,21.15,20,20,29.99,48.08,20,37.76,26.65,32.54,50.94,20,38.14,20,20,20,20,47.56,27.37,20,20,20,20,35.29,20,30.54,20,20,20,29.07,20,20,37.19,30.56,20,20,46.9,20,33.88,39.77,29.23,20,37.24,20,21.27,46.55,27.6,20,29.5,45.89,55.3,54.32,65.17,62.63,35.98,34.92,29.73,81.8,35.41,31.65,25.1,20.35,27.82,43.87,20,33.97,20,32.72,31.77,33.31,24.83,69.75,45.38,74.43,130.11,20,94.1,60,53.3,63.4,54.73,40.95,62.88,57.5,24.3,46.59,28.2,44.56,88.3,38.16,20,52.33,25.27,29.05,42.52,41.36,30.25,36.18,47.11,70.63,20,20,20,20,20,133.7,101.52,89.72,75.34,55.57,55.12,46.04
KLRC3,194.8,140.35,155.59,129.53,141.94,91.2,55.27,183.88,116.1,52.52,101.53,122.53,75.89,108.73,309.65,372.78,326.26,81.61,175.52,97.45,86.68,190.72,283.36,184.92,49.63,179.34,105.38,48.16,201.08,67.06,97.33,115.74,103.07,60.58,38.04,145.86,92.65,37.64,95.78,40.14,38.49,93.26,43.6,21.82,114.04,137.99,93.84,131.72,53.79,53.29,91.28,65.34,94.29,40.63,148.87,61.14,91.6,153.78,68.57,95.52,183.93,72.87,74.43,171.29,129.15,150.55,189.06,265.64,58.99,55.2,111.29,127.81,70.9,34.03,52.33,20,44.49,48.53,37.15,31.04,32.88,48.09,46.6,83.17,85.32,45.38,47.66,64.33,46.21,158.97,72.61,153.16,97.58,48.52,121.61,152.58,75.02,98.9,54.01,52.81,97.95,79.96,31.5,99.31,48.79,46.85,108.67,45.09,51.36,147.35,64.49,62.49,60.15,55.95,39.7,64.14,33.86,37.31,46.43,20,25.48,33.27,20,20,164.78,101.62,76.6,111.13,48.14,40.19
KLRD1,129.48,101.82,102.87,112.88,93.95,98.13,96,96.21,56.63,42.01,80.52,103.39,92.04,107.7,123.01,169.6,133.17,60.01,98.5,76.31,69.48,114.62,136.95,131.91,60.53,190.67,65.41,89.8,95.18,56.39,72.34,86.31,104.01,81.35,78.89,86.67,67.38,41.5,50.28,42.37,67.05,51.25,20,26.18,76.02,148.79,102.51,83.58,52.73,36.64,91.28,98.02,126.34,55.97,56.08,42.33,50.19,88.82,71.94,84.35,137.1,55.92,71.77,141.5,156.75,149.22,155.95,197.24,217.52,247.08,447.17,559.79,607.44,288.34,121.31,110.43,115.31,174.08,161.66,393.32,139.1,199.97,200.48,164,124.93,250.14,274.42,319.36,289.01,253.05,245.06,393.64,788.8,300.28,136.09,149.15,103.64,187.65,287.35,247.88,250.32,274.01,270.91,501.43,324.73,330.22,189.05,158.69,136.21,403.48,368.62,354.12,191.85,250.57,314.76,412.81,341.54,349.14,308.95,332.71,344.48,516.41,340.48,220.84,354.57,380.85,421.9,519.71,725.15,746.1
KLRF1,53.66,46.78,42.43,20,27.57,20,21.61,41.9,38.7,31.51,36.76,38.29,20,24.77,93.32,99.07,51.94,36.01,20,20,21.33,62.13,86.04,62.87,43.58,86.84,27.86,20,80.43,44.2,51.29,52.97,32.79,20,31.64,46.51,20,24.13,20,20,20,31.09,20,20,20,72,56.31,48.15,36.91,24.43,57.47,30.56,20,21.08,58.12,42.33,43.92,78.22,38.22,42.18,56.42,20,25.7,70.75,41.95,55.96,85.5,111.64,133.95,148.07,307.81,331.02,324.89,126.26,63.03,106.34,69,86.51,77.32,151.63,84.09,113.91,95.36,196.8,170.64,290.25,285.97,258.48,255.9,261.16,249.6,416.55,271.61,195.91,91.21,102.86,80.94,131.87,149.08,175.67,181.39,199.45,196.21,360.44,229.45,260.52,118.86,129.21,78.16,265.77,191.72,191.86,103.7,136.23,172.98,184.2,182.55,162.58,200.01,179.44,205.63,337.41,190.1,140.86,188.32,227.04,247.37,343.2,145.19,154.92
KLRF2,25.66,27.52,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,24.66,20,20,20,20,29.49,20,20,20,20,20,20,26.42,20,20,20,20,20,21.01,20,20,20,20,20,21.8,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,51.73,20,20,20,20,20,20,20,20,20,62.66,25.87,20,20,20,20,20,33.14,20,20,20,20,22.66,20,20,20,20,20,20,74.63,20,20,20,20,20,100.27,20,20,20,20,31.83,27.04
KLRG1,30.33,28.9,25.72,20,20,20,20,28.71,20,20,20,20,20,20,29.69,47.02,20,24,20,20,20,20.23,20,39.45,27.84,20,20,20,42.9,20,26.31,20,20,20,20,20,23.16,20,20,20,20,20,20,20,20,20,20,35.43,31.64,20,35.5,26.35,20,20,20,20,20,20,20,20,23.7,20,20,20,20,20,22.88,22.95,45.47,61.33,75.2,103.52,53.97,20.6,39.25,20,36.32,37.98,20.08,66.66,46.16,51.47,33.59,83.17,74.66,93.94,62.11,71.22,40.7,61.64,52.94,73,48.79,24.72,34.75,39.43,29.61,20,50.41,24.79,66.51,94.33,81.9,107.89,57.93,46.85,55.47,46.83,20,63.35,63.62,65.23,54.96,83.52,79.4,113.48,36.8,50.64,82.15,102.8,77.33,134.65,20,78.78,105.93,127.25,116.78,119.3,59.78,37.27
KLRG2,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
KLRK1,90.98,93.57,97.72,66.62,83.73,88.89,100.57,90.78,84.95,72.65,89.28,82.33,93.65,115.95,121.6,216.61,134.5,56.41,120,162.73,79.8,192.65,240.74,139.3,73.84,141.58,100.54,113.23,121.99,65.53,60.5,98.09,98.38,55.39,79.69,90.9,65.28,44.4,53.87,23.41,79.47,82.34,20,43.63,86.39,119.99,93.84,109.01,53.79,42.19,113.26,144.39,130.11,64.02,88.71,35.27,46.43,87.5,79.81,81.87,111.14,54.23,62.03,102.4,128.05,105.25,158.35,230.34,204,219.04,320.84,292.68,250.81,196.11,164.12,130.88,208.82,168.81,102.42,415.71,198.53,265.78,235.15,299.88,297.1,438.01,400.07,388.29,419.37,327.66,264.72,399.37,322.03,202.32,163.6,144.01,102.66,150.88,197.33,213.39,342.23,319.83,280.81,391.09,233.26,299.37,246.78,202.92,84.85,320.86,288.45,325.07,278.97,349.5,316.65,292.75,253.21,231.87,364.31,353.27,357.66,327.91,236.92,134.89,306.02,362.54,291.31,339.93,224.38,293.76
KNG1,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
LAG3,30.33,34.4,25.72,20,29.61,20,20,28.71,20,20,20,20,20,31.65,20,20,20,20,20,59.76,20,20,20,30.82,20,20,37.55,29.93,32.17,20,27.62,45.12,29.98,20,20,22.2,20,20,20,20,69.54,20,20,22.91,20,42,43.31,24.53,22.15,20,33.81,57.97,20,20,20,20,20,31.82,26.98,32.25,20,20,24.81,20,28.7,26.65,20,20,20,20,20.05,25.56,74.08,54.62,20,20,20,20,25.1,68.18,20,22.78,20,20,20,20,20,20,105.53,20,20,20,20,103.45,20,20,20,20,80.66,146.57,20,23.36,20,26.97,48.79,143.97,20,21.68,20,34.43,104.57,101.41,20,20,26.47,20,38.28,163.91,20,20,20,20,65.26,66.85,20,20,20,20,55.9,147.61
LAIR1,36.16,45.41,34.72,37.01,37.78,32.32,25.35,57.41,48.14,38.51,45.51,40.21,53.29,52.99,35.35,52.05,39.95,34.81,39.4,33.1,24.77,28.42,37.49,51.78,38.74,54.75,36.34,20,37.54,35.05,27.62,20,25.3,20,20,38.05,32.64,20,45.49,42.37,60.85,30.25,20,25.09,89.85,44.4,46.2,22.71,28.48,31.09,64.24,40.05,20,20,47.92,28.22,27.6,42.42,29.23,28.53,45.7,20,27.47,61.44,51.88,27.98,39.74,57.36,110.6,107.77,135.36,264.56,271.97,235.51,108.23,118.61,80.81,113.95,159.65,139.93,96.74,99.56,99.7,144.08,137.12,138.26,218.09,263.07,289.7,128.15,139.17,135.99,317.15,169.37,118.72,149.15,113.52,278.95,182.93,297.45,126.97,196.75,168.3,240.29,356.75,365.64,103.01,102.33,80.39,245.12,325.92,313.55,144.15,162.99,165.42,207.23,297.37,222.55,158.94,179.44,178.39,286.72,293.67,205.32,61.79,93.38,120.54,269.66,166.92,171
LAIR2,20,20,20,20,20,20,20,22.5,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,28.35,20,20,30.28,20,20,20,20,20,20,20,20,27.48,26.32,20,20,20,20,20,20,22.91,20,20,20,22.71,20,20,20,20,20,20,28.55,20,20,20,20,20,20,20,20,44.68,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
LAMP3,20,20,20,20,20.42,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,22.2,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
LCK,102.65,94.94,104.15,85.12,103.14,92.36,74.39,73.71,60.41,42.01,87.53,103.39,124.33,84.3,86.25,82.28,71.91,58.81,57.31,159.05,51.6,86.69,89.19,104.79,52.05,75.51,78.73,82,75.07,44.2,63.13,80.43,89.95,67.5,53.66,91.96,82.12,55.98,61.06,35.68,70.78,52.93,45.42,44.72,96.76,122.39,93.84,78.12,54.84,49.96,77.76,162.31,86.74,53.28,61.18,55.26,32.62,87.5,59.58,83.11,92.53,55.92,39.87,78.2,119.21,94.59,93.93,96.19,49.16,58.7,69.18,93.3,164.03,69.85,68.98,94.07,81.71,49.59,71.29,155.19,54.37,70.87,65.02,51.54,70.08,77.05,82.33,87.31,213.82,103.81,78.66,95.91,102.46,174.86,63.7,58.29,54.29,78.61,187.25,190.76,77.39,70.97,63.9,118.92,103.67,198.81,64.53,57.23,84.85,106.03,222.22,235.71,65.33,72.17,59.55,105.26,98.63,189.23,117.86,97.2,78.21,137.82,156.05,119.37,67.68,65.92,65.29,89.89,160.71,201.69
LCP2,331.27,254.56,302.17,427.46,257.33,244.74,388.97,124.91,168.96,297.6,281.84,195.28,243.82,211.61,172.5,179.67,171.79,240.04,377.9,215.13,229.78,169.53,211.14,173.82,528.99,232.2,180.48,214.75,235.94,310.9,356.43,255.02,289.53,327.12,205.03,191.31,213.73,326.22,187.96,230.8,173.84,149.56,396.07,495.23,293.73,235.19,160.26,139.9,266.83,304.21,204.54,145.44,235.71,261.82,179.46,345.68,342.55,198.85,131.52,102.96,150.07,210.14,272.92,240.18,134.67,131.9,203.51,208.27,271.59,417.05,467.23,568.74,394.73,302.67,266.41,139.05,238.79,255.32,303.24,195.9,201.69,229.5,201.56,207.34,210.25,263.86,375.52,464.11,289.7,223.85,252.62,322.07,365.94,269.15,277.97,418.3,330.68,623.82,254.23,248.96,227.34,322.53,454.51,355.54,290.43,235.38,167.54,217.66,156.31,453.06,296.29,304.24,242.67,321.93,282.63,347.02,429.87,155.92,344.67,319.63,418.29,331.07,353.25,167.12,256,315.85,345.31,459.24,274.07,257.96
LEF1,94.48,108.7,87.44,88.82,92.92,57.72,43.22,115.6,93.44,50.77,91.03,88.07,142.1,162.06,84.84,72.2,70.58,46.81,20,36.77,21.33,49.61,76.17,101.09,48.42,60.41,38.76,57.27,111.27,51.82,59.19,80.43,59.03,53.65,33.64,102.53,108.44,72.39,88.59,28.99,28.56,99.15,20,34.91,20,60,36.09,98.11,59.06,42.19,72.69,84.32,77.31,35.27,83.61,39.98,40.15,53.03,31.47,50.86,94.22,50.84,45.19,68.89,86.1,55.96,73.46,81.63,62.67,42.93,34.09,30.67,27.51,20,122.5,118.61,93.52,88.62,54.22,30.02,42.99,33.75,47.68,26.94,20,26.39,20,20,39.32,20,51.43,42.94,45.54,26.55,88.31,58.29,57.25,71,43.93,35.57,65.3,57.5,58.5,56.4,36.59,36.56,73.58,44.23,60.29,42.69,51.41,30.15,87.11,88.39,69.95,67.43,39.75,37.31,55.36,39.25,41.3,44.35,46.82,29.84,64.73,32.04,45.2,20,33.38,27.04
LGALS3,795.52,348.13,325.31,514.44,288.99,472.17,594.68,193.97,169.9,232.82,273.08,193.37,206.69,318.27,441.15,555.8,616.57,296.45,481.77,242.71,879.22,306.79,329.54,509.14,602.83,353.02,288.28,374.84,872.7,583.69,693.14,547.32,673.7,983.1,834.54,839.25,548.53,665.95,436.99,842.9,623.35,135.28,148.98,181.07,276.45,183.59,423.02,256.18,309.02,308.65,253.56,141.23,441.26,384.48,540.41,423.28,490.61,343.36,259.66,501.14,413.55,469.43,430.65,359.33,222.98,346.4,582.24,433.32,267.9,203.27,275.72,203.21,837.09,1247.38,581.57,269.93,263.3,154.04,194.8,1054.29,264.92,240.47,228.65,326.82,237.68,366.24,283.08,335.44,1569.88,257.91,210.27,224.73,282.99,1422.67,330.09,277.72,179.65,172.44,1106.21,1097.13,302.32,353.97,227.71,210.87,625.07,1282.01,216.22,181.24,116.12,198.3,1467.5,1417.03,270.67,162.18,148.4,131.57,365.09,1006.12,310.73,231.78,244.3,239.2,705.08,1009.88,335.44,231.62,286.29,302.35,1063.66,1064.71
LIF,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
LILRA1,20,41.28,33.43,59.22,35.74,28.86,24.1,23.28,32.09,52.52,75.27,42.12,20,20,33.93,20,20,57.61,44.77,20,42.65,20.23,20,32.05,43.58,47.19,25.44,20,30.83,39.62,51.29,20,20,20,38.84,31.71,27.37,39.57,70.64,20,20,20,41.79,53.45,20,20,37.54,25.44,47.46,53.29,38.88,20,41.49,47.53,30.59,47.03,42.66,64.96,20,28.53,23.7,20,33.67,37.24,20,20,20,21.18,38.1,27.16,33.09,35.79,22.22,25.07,44,20,21.79,35.87,20,20,24.66,24.47,23.84,26.94,30.47,42.22,92.44,56.29,28.97,32.44,20,30.06,32.53,20,39.09,65.15,52.32,57.06,30.97,36.64,20,30.55,45.9,41.68,37.35,20,26.04,32.09,20,37.18,23.53,20,52.89,33.25,45.37,60.85,20,29.32,44.65,20,57.12,71.28,29.79,34.62,20,20.14,30.14,20,20.19,20
LILRA2,205.29,199.52,216.02,286.83,115.39,178.94,235.21,183.1,270.89,405.26,469.14,218.26,159.86,258.06,176.74,159.52,170.46,238.84,333.12,93.78,362.56,135.33,127.47,48.08,85.95,67.96,32.7,37.74,123.33,265.18,315.66,251.1,173.34,221.54,309.15,174.4,220.04,453.62,409.45,650.02,268.22,36.97,81.76,85.08,103.67,32.4,63.53,89.93,176.13,212.06,182.57,54.81,199.88,231.53,216.16,382.13,484.34,399.03,156.25,147.61,40.62,61.01,38.1,65.16,20,29.31,40.34,26.03,61.45,33.29,42.11,34.51,24.34,47.46,57.09,20,31.78,44.31,34.14,23.91,29.72,23.62,36.84,43.34,54.85,63.33,99.66,157.38,82.77,38.93,33.28,48.67,43.91,21.06,36.19,41.14,46.39,76.08,30.25,47.42,74.98,119.49,147.6,136.09,179.14,161.11,73.58,83.25,102.72,190.04,130.72,114.02,87.11,74.6,72.78,100.32,197.27,79.96,78.58,78.51,125.66,134.65,144.71,130.11,36.78,20,33.9,44.13,20,21.19
LILRA3,62.99,30.27,30.86,59.22,30.63,28.86,44.88,28.71,27.37,44.64,57.77,38.29,20,33.03,36.76,38.62,42.61,38.41,66.27,31.26,68.8,26.49,28.42,28.35,108.95,20,44.82,54.66,44.24,48.77,59.19,52.97,64.65,55.39,50.86,56.02,53.69,119.68,65.85,82.51,34.77,24.37,125.36,147.26,20,60,67.86,24.53,36.91,35.53,42.26,20,60.34,50.98,40.79,57.61,50.19,46.4,31.47,20,23.7,59.31,54.94,20,20,20,36.73,20,73.73,44.68,59.16,129.08,169.32,77.01,58.28,20,20,26.38,155.64,35.62,27.19,29.53,53.1,20,20,20,44.77,150.49,80.01,34.06,39.33,58.69,243.96,133.66,20,72,57.25,242.18,82.1,86.22,24.19,20,55.8,66.2,148.64,71.98,23.77,26.88,60.29,231.35,93.24,105.25,25.93,20,20.8,75.65,157.52,51.97,20,20,44.82,102.97,146.12,109.82,41.19,22.89,45.2,158.53,95.5,98.65
LILRA4,20,20,20,20,20,20,20,20,20,20,20,20,20,20,38.18,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,22.06,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,37.41,20,20,20,20,30.43,20,20,20,20,24.3,20,21.34,20,20,20,20,31.67,20,20,20,21.08,23.63,20,20,20,20,20,20,20,28.37,20,20,20,20,20,20,20
LILRA5,117.81,77.06,83.58,140.64,58.21,78.5,125.92,27.16,32.09,70.9,80.52,53.61,83.97,78.1,43.83,55.41,61.26,40.81,57.31,22.98,111.45,37.08,31.97,71.5,135.58,54.75,41.18,57.27,64.35,79.25,109.17,20,74.96,83.08,108.12,61.31,82.12,160.21,104.16,255.32,127.9,42.01,181.68,152.71,20,45.6,125.61,49.06,72.77,63.28,52.4,20,90.51,62.87,61.18,103.47,90.34,53.03,47.21,64.5,34.42,57.62,59.37,46.55,20,20,63.82,37.95,25.81,26.28,26.07,38.34,38.1,72.53,28.54,20,20,20,41.17,20,20,20,20,20,20,20,20,40.21,42.76,20,20,20,53.67,53.1,20,20,20,49.45,31.69,48.5,20,20,24.3,20,44.97,45.7,20,20,20,49.57,43.57,38.37,20,20,20,20,20,33.32,20,20,20,20,35.47,33.42,20,20,20,20,21.74,31.42
