"gene","avexpr","lfc","padj","pvalue","Comparison","Significant","Regulation","Species"
"MAPK14",7.8905337350677,0.274319336937116,0.479299403550103,0.113911416687882,"Early",FALSE,"None","AGM"
"S100A8",13.4847351769857,0.626595881900482,0.46129923891821,0.108435275641813,"Early",FALSE,"None","AGM"
"HPRT1",8.3251403331761,-0.274598596137143,0.482599215103398,0.117093717269282,"Early",FALSE,"None","AGM"
"TNFSF8",7.79588199472092,0.325417261190203,0.482599215103398,0.117202666525111,"Early",FALSE,"None","AGM"
"SLAMF7",9.56783627680855,0.388662543522997,0.482599215103398,0.116658631765127,"Early",FALSE,"None","AGM"
"BID",9.12084335605564,0.157628150974288,0.48599354381035,0.120274222330585,"Early",FALSE,"None","AGM"
"TYK2",8.24420994173366,-0.14962332517629,0.51684276633037,0.130888752512237,"Early",FALSE,"None","AGM"
"TLR5",7.90268897839554,0.322893073761642,0.519150703734689,0.133085344775316,"Early",FALSE,"None","AGM"
"CDKN1A",7.64627269161776,0.265236268422372,0.517810085490287,0.131806203579346,"Early",FALSE,"None","AGM"
"ANP32B",9.34049506029998,-0.184357948686136,0.498194492133607,0.124225120116432,"Early",FALSE,"None","AGM"
"CFL1",11.8526137217907,0.158091126434231,0.506060427637183,0.126843717576593,"Early",FALSE,"None","AGM"
"MAX",11.5473764848205,0.206292338300546,0.519150703734689,0.133495895246063,"Early",FALSE,"None","AGM"
"MME",7.9298834404971,-0.334842018998988,0.532792385521599,0.147273523261097,"Early",FALSE,"None","AGM"
"CD27",6.98390312002919,-0.190329686620848,0.346260011177464,0.0685899016302533,"Early",FALSE,"None","AGM"
"MAP2K1",7.57421244664845,-0.218867225325845,0.532792385521599,0.145984475255824,"Early",FALSE,"None","AGM"
"CX3CR1",9.66922660383341,0.484702640694346,0.532792385521599,0.140846526439596,"Early",FALSE,"None","AGM"
"BCL3",7.27264455687558,-0.221176397069504,0.479806253411617,0.114655000815244,"Early",FALSE,"None","AGM"
"C1QB",7.11766823508799,0.171263495368595,0.293805326845135,0.0518928888973226,"Early",FALSE,"None","AGM"
"APP",9.1728006430444,0.157068111603241,0.532792385521599,0.149216794959967,"Early",FALSE,"None","AGM"
"ETS1",11.0695913677084,-0.16965145695832,0.532792385521599,0.149009882168527,"Early",FALSE,"None","AGM"
"IL13RA1",8.16228954945112,0.280215807118729,0.532792385521599,0.170351074184395,"Early",FALSE,"None","AGM"
"PRKCB",10.01431163978,0.176870799839801,0.532792385521599,0.152459752076691,"Early",FALSE,"None","AGM"
"CD47",10.6917693342012,0.150809186203739,0.532792385521599,0.153670683314858,"Early",FALSE,"None","AGM"
"FCGRT",6.79610604738259,-0.134838605613768,0.300932292530151,0.0543241411190793,"Early",FALSE,"None","AGM"
"IL11RA",6.93442218484452,-0.271574524636186,0.48599354381035,0.120535752386625,"Early",FALSE,"None","AGM"
"LEF1",7.76455913294018,-0.293159285554731,0.532792385521599,0.1772411561668,"Early",FALSE,"None","AGM"
"SIRPA",8.47632062637187,-0.292769960746085,0.532792385521599,0.173498584231342,"Early",FALSE,"None","AGM"
"HMGB2",9.0876832095509,-0.227362079123617,0.532792385521599,0.180465904696583,"Early",FALSE,"None","AGM"
"ILF3",8.5924534572125,-0.175529038177126,0.532792385521599,0.179756410503496,"Early",FALSE,"None","AGM"
"HDAC4",7.02133336889482,-0.146887674194413,0.311901389205641,0.0567093434919347,"Early",FALSE,"None","AGM"
"CD74",12.7494691395911,0.198870563763991,0.532792385521599,0.195682110428957,"Early",FALSE,"None","AGM"
"NFE2L2",10.0476392020185,0.161588220015767,0.532792385521599,0.180805229595863,"Early",FALSE,"None","AGM"
"IL7",8.14701878703529,-0.269142694143669,0.532792385521599,0.203495089582296,"Early",FALSE,"None","AGM"
"CD8A",8.26713741755842,-0.251554036338684,0.532792385521599,0.205247524580047,"Early",FALSE,"None","AGM"
"IKBKAP",8.37211676942799,-0.17889414954359,0.532792385521599,0.20240092637927,"Early",FALSE,"None","AGM"
"FADD",7.17184003884619,-0.166019998082996,0.523751868597696,0.135359249157067,"Early",FALSE,"None","AGM"
"CFD",9.33319820477885,-0.350192975799047,0.532792385521599,0.194462896028653,"Early",FALSE,"None","AGM"
"ITGB2",8.43777889559018,-0.16744405532293,0.532792385521599,0.219662982813118,"Early",FALSE,"None","AGM"
"S1PR1",9.08647840096694,-0.174461249334104,0.532792385521599,0.205907475053349,"Early",FALSE,"None","AGM"
"NUP107",7.34015217364652,-0.211844666235629,0.532792385521599,0.166559753602576,"Early",FALSE,"None","AGM"
"KLRB1",7.67143255646646,-0.369419889719128,0.532792385521599,0.228647949820065,"Early",FALSE,"None","AGM"
"KLRC1",8.11819604479115,-0.345917685530309,0.532792385521599,0.2239966445074,"Early",FALSE,"None","AGM"
"BCL6",8.3152650289068,-0.274372730744778,0.532792385521599,0.222755086756921,"Early",FALSE,"None","AGM"
"NOTCH1",6.83704844510781,-0.115509512861837,0.314067087883721,0.058734624227605,"Early",FALSE,"None","AGM"
"CD244",8.20384641116643,0.214124040450264,0.532792385521599,0.238614938815453,"Early",FALSE,"None","AGM"
"HLA-B",11.7068557036912,0.406617080122714,0.532792385521599,0.220107799705458,"Early",FALSE,"None","AGM"
"TNFSF10",7.17377298535742,0.141357367278808,0.3576271658937,0.071989884043537,"Early",FALSE,"None","AGM"
"BLK",6.72772787428481,-0.0862844359975474,0.314067087883721,0.058665281531616,"Early",FALSE,"None","AGM"
"BCAP31",9.00395965445847,0.138722461271266,0.532792385521599,0.222313551100029,"Early",FALSE,"None","AGM"
"LILRA3",8.27646801831795,0.298873376078049,0.532792385521599,0.223713209956417,"Early",FALSE,"None","AGM"
"HSPB1",6.9269589826829,-0.140789332326542,0.340270985343134,0.0667284659569002,"Early",FALSE,"None","AGM"
