"gene","avexpr","lfc","padj","pvalue","Comparison","Significant","Regulation","Species"
"FADD",7.17184003884619,-0.166019998082993,0.523751868597722,0.135359249157074,"Early",FALSE,"None","AGM"
"CFD",9.33319820477885,-0.350192975799049,0.532792385521593,0.194462896028649,"Early",FALSE,"None","AGM"
"ITGB2",8.43777889559018,-0.16744405532293,0.532792385521593,0.21966298281312,"Early",FALSE,"None","AGM"
"S1PR1",9.08647840096695,-0.17446124933411,0.532792385521593,0.205907475053337,"Early",FALSE,"None","AGM"
"NUP107",7.34015217364653,-0.211844666235637,0.532792385521593,0.166559753602561,"Early",FALSE,"None","AGM"
"KLRB1",7.67143255646646,-0.369419889719129,0.532792385521593,0.228647949820064,"Early",FALSE,"None","AGM"
"KLRC1",8.11819604479115,-0.345917685530314,0.532792385521593,0.223996644507393,"Early",FALSE,"None","AGM"
"BCL6",8.3152650289068,-0.27437273074478,0.532792385521593,0.222755086756918,"Early",FALSE,"None","AGM"
"NOTCH1",6.83704844510781,-0.115509512861839,0.314067087883681,0.0587346242275974,"Early",FALSE,"None","AGM"
"CD244",8.20384641116643,0.214124040450258,0.532792385521593,0.238614938815465,"Early",FALSE,"None","AGM"
"HLA-B",11.7068557036912,0.406617080122711,0.532792385521593,0.220107799705461,"Early",FALSE,"None","AGM"
"TNFSF10",7.17377298535741,0.141357367278809,0.357627165893655,0.0719898840435279,"Early",FALSE,"None","AGM"
"BLK",6.72772787428481,-0.0862844359975483,0.314067087883681,0.0586652815316143,"Early",FALSE,"None","AGM"
"BCAP31",9.00395965445847,0.138722461271257,0.532792385521593,0.222313551100062,"Early",FALSE,"None","AGM"
"LILRA3",8.27646801831795,0.298873376078042,0.532792385521593,0.223713209956427,"Early",FALSE,"None","AGM"
"HSPB1",6.9269589826829,-0.140789332326537,0.34027098534313,0.0667284659568995,"Early",FALSE,"None","AGM"
"ATG10",7.74039383228684,-0.238276745431355,0.532792385521593,0.250978139597054,"Early",FALSE,"None","AGM"
"CLU",11.7324195251691,0.208423891011728,0.532792385521593,0.234298015768268,"Early",FALSE,"None","AGM"
"LAIR1",9.8637268665606,0.16475128613479,0.532792385521593,0.228337065832119,"Early",FALSE,"None","AGM"
"CXCR2",8.37448913682083,-0.299358090828191,0.532792385521593,0.252299189033048,"Early",FALSE,"None","AGM"
"GPI",9.52930411143384,-0.16742448021852,0.532792385521593,0.235248631121033,"Early",FALSE,"None","AGM"
"ATM",8.3047910125191,-0.203867918607367,0.532792385521593,0.250955010617736,"Early",FALSE,"None","AGM"
"CXCR1",8.43098066951502,-0.219679167245038,0.532792385521593,0.258807493194556,"Early",FALSE,"None","AGM"
"CXCL3",7.94014266390836,-0.222945344241437,0.541606092975346,0.275070159576848,"Early",FALSE,"None","AGM"
"FCER1A",8.61195743513007,-0.438018427714037,0.536065295364528,0.270817402463378,"Early",FALSE,"None","AGM"
"ITGAL",9.47462835287672,0.168486939215214,0.532792385521593,0.246337609689598,"Early",FALSE,"None","AGM"
"MAPKAPK2",8.17104329411638,-0.129161274129599,0.544344195403038,0.281362324377154,"Early",FALSE,"None","AGM"
"CD8B",7.90098187870442,-0.259651019550087,0.532792385521593,0.267780069086827,"Early",FALSE,"None","AGM"
"NFATC1",7.41343226969507,-0.160621595663129,0.532792385521593,0.261659607910053,"Early",FALSE,"None","AGM"
"HLA-DRB1",11.6395028854199,0.170895049600281,0.539003382423285,0.27300171317543,"Early",FALSE,"None","AGM"
"IFNGR1",9.30896052298963,-0.251552975670307,0.532792385521593,0.267021489210535,"Early",FALSE,"None","AGM"
"MALT1",9.01910146190056,-0.128926438622017,0.532792385521593,0.26744862528044,"Early",FALSE,"None","AGM"
"ICOS",8.1260053522217,-0.190850415925818,0.560876638215788,0.307707682154514,"Early",FALSE,"None","AGM"
"IL1R1",7.55109320406616,-0.23790431978472,0.532792385521593,0.23594083988293,"Early",FALSE,"None","AGM"
"CREB1",8.82542820133661,-0.129316050670793,0.541606092975346,0.276908380527728,"Early",FALSE,"None","AGM"
"TCF7",6.7291152876407,-0.0759088125657419,0.359428085256327,0.0737527759357139,"Early",FALSE,"None","AGM"
